,Overall,Boros Energy,Eldrazi Ramp,Orzhov Blink,Amulet Titan,Dimir Oculus,Domain Aggro,Mono Blue Belcher,Dimir Frog,Esper Oculus,Golgari Yawgmoth,Mill,Hollow One,Azorius Control,Jeskai Energy Control,Esper Reanimator,Mardu Energy,Merfolk,Burn,Eldrazi Tron,Domain Cascade,Eldrazi Bloodchief Combo,Jeskai Ocelot,Ruby Storm,Azorius Artifacts,Orzhov Necrodominance,Samwise Combo,Hammer Time,Affinity,Living End,Mono Black Necrodominance,Splinter Twin,Hardened Scales,col name
0,8375,1646,1113,843,513,529,318,273,125,223,214,143,132,111,130,97,155,97,79,112,106,82,92,51,70,38,51,38,47,36,45,46,47,Boros Energy
1,7063,1113,968,953,475,266,316,208,148,184,143,146,121,118,113,78,96,81,82,79,62,55,91,52,62,71,67,36,28,32,39,28,22,Eldrazi Ramp
2,6107,843,953,886,444,139,279,184,173,147,116,152,113,123,121,48,47,78,77,73,16,49,53,37,53,69,49,37,27,31,28,24,15,Orzhov Blink
3,3357,513,475,444,226,149,150,87,103,62,63,68,69,55,62,32,39,39,40,34,23,26,28,23,37,40,19,25,20,10,18,22,19,Amulet Titan
4,2864,529,266,139,149,322,70,117,54,48,100,41,54,17,24,65,59,50,28,34,63,40,19,39,14,,10,30,33,28,14,18,26,Dimir Oculus
5,2282,318,316,279,150,70,122,56,71,50,46,67,52,41,39,29,21,27,27,32,12,21,14,15,21,15,24,17,11,10,20,9,8,Domain Aggro
6,1676,273,208,184,87,117,56,46,45,40,46,37,25,20,27,47,25,20,21,22,22,19,17,20,13,8,15,11,16,9,12,7,6,Mono Blue Belcher
7,1399,125,148,173,103,54,71,45,64,20,26,33,31,28,25,34,6,25,25,16,6,11,2,13,14,20,16,13,8,15,7,7,9,Dimir Frog
8,1238,223,184,147,62,48,50,40,20,36,26,24,23,11,16,19,29,10,17,20,11,13,21,11,4,7,10,10,7,6,9,7,4,Esper Oculus
9,1233,214,143,116,63,100,46,46,26,26,16,25,15,17,19,13,25,14,13,14,14,21,10,11,10,4,9,6,9,12,6,11,7,Golgari Yawgmoth
10,1167,143,146,152,68,41,67,37,33,24,25,20,30,23,14,25,6,16,25,6,5,8,7,7,8,9,11,6,11,12,8,4,5,Mill
11,1031,132,121,113,69,54,52,25,31,23,15,30,24,12,13,15,10,12,8,10,11,10,5,13,11,9,10,12,7,9,9,5,2,Hollow One
12,867,111,118,123,55,17,41,20,28,11,17,23,12,40,15,11,5,8,14,10,11,7,2,6,8,6,7,9,4,4,7,4,1,Azorius Control
13,837,130,113,121,62,24,39,27,25,16,19,14,13,15,8,5,8,9,15,12,10,4,7,6,7,12,5,9,3,3,4,5,1,Jeskai Energy Control
14,788,97,78,48,32,65,29,47,34,19,13,25,15,11,5,26,13,9,7,5,9,11,7,13,5,2,5,4,13,7,6,6,5,Esper Reanimator
15,738,155,96,47,39,59,21,25,6,29,25,6,10,5,8,13,28,7,9,10,10,9,6,8,,1,4,4,5,4,7,5,5,Mardu Energy
16,696,97,81,78,39,50,27,20,25,10,14,16,12,8,9,9,7,14,13,4,4,2,4,4,4,3,9,5,4,5,2,3,2,Merfolk
17,692,79,82,77,40,28,27,21,25,17,13,25,8,14,15,7,9,13,20,6,3,8,3,11,8,10,3,4,6,9,5,7,3,Burn
18,647,112,79,73,34,34,32,22,16,20,14,6,10,10,12,5,10,4,6,6,9,11,5,6,9,4,5,3,6,2,6,2,6,Eldrazi Tron
19,546,106,62,16,23,63,12,22,6,11,14,5,11,11,10,9,10,4,3,9,16,8,5,4,3,,1,6,11,1,1,7,2,Domain Cascade
20,546,82,55,49,26,40,21,19,11,13,21,8,10,7,4,11,9,2,8,11,8,10,4,4,7,5,4,6,2,2,5,3,5,Eldrazi Bloodchief Combo
21,496,92,91,53,28,19,14,17,2,21,10,7,5,2,7,7,6,4,3,5,5,4,16,4,3,,7,8,,3,2,2,2,Jeskai Ocelot
22,472,51,52,37,23,39,15,20,13,11,11,7,13,6,6,13,8,4,11,6,4,4,4,4,2,3,2,3,3,2,2,1,2,Ruby Storm
23,451,70,62,53,37,14,21,13,14,4,10,8,11,8,7,5,,4,8,9,3,7,3,2,4,7,6,1,6,,2,1,2,Azorius Artifacts
24,422,38,71,69,40,,15,8,20,7,4,9,9,6,12,2,1,3,10,4,,5,,3,7,20,3,2,2,3,1,2,1,Orzhov Necrodominance
25,416,51,67,49,19,10,24,15,16,10,9,11,10,7,5,5,4,9,3,5,1,4,7,2,6,3,4,1,3,1,4,,,Samwise Combo
26,372,38,36,37,25,30,17,11,13,10,6,6,12,9,9,4,4,5,4,3,6,6,8,3,1,2,1,4,1,6,1,,1,Hammer Time
27,371,47,28,27,20,33,11,16,8,7,9,11,7,4,3,13,5,4,6,6,11,2,,3,6,2,3,1,6,5,1,2,3,Affinity
28,335,36,32,31,10,28,10,9,15,6,12,12,9,4,3,7,4,5,9,2,1,2,3,2,,3,1,6,5,2,3,1,1,Living End
29,318,45,39,28,18,14,20,12,7,9,6,8,9,7,4,6,7,2,5,6,1,5,2,2,2,1,4,1,1,3,2,2,,Mono Black Necrodominance
30,300,46,28,24,22,18,9,7,7,7,11,4,5,4,5,6,5,3,7,2,7,3,2,1,1,2,,,2,1,2,,3,Splinter Twin
31,291,48,35,28,19,29,15,11,2,9,12,3,4,7,4,4,5,2,1,5,3,4,3,3,1,,1,,5,2,1,2,,4 Color Omnath
32,266,39,35,24,16,14,13,4,11,7,7,6,6,3,6,7,3,2,2,3,,1,4,4,2,2,,6,1,1,2,2,3,Eldrazi Breach
33,264,38,28,22,25,14,9,4,3,7,5,3,11,6,2,3,3,9,1,1,3,2,3,3,2,,1,3,1,2,1,4,,Grixis Reanimator
34,259,47,22,15,19,26,8,6,9,4,7,5,2,1,1,5,5,2,3,6,2,5,2,2,2,1,,1,3,1,,3,4,Hardened Scales
35,246,30,27,27,15,15,11,3,2,5,4,8,6,4,5,5,2,7,3,7,2,2,1,4,,4,2,4,3,,,5,,Jund Saga
36,231,42,24,10,10,26,10,9,5,4,7,,7,6,2,3,7,1,2,1,8,3,2,2,1,,2,2,6,,,2,,Jund Creativity
37,223,28,24,24,21,6,4,8,7,6,8,9,3,1,4,4,2,3,1,3,3,2,4,5,2,1,3,4,2,,3,,2,5 Color Creativity
38,207,25,27,27,16,1,12,3,10,5,1,7,4,7,2,3,1,2,3,2,2,3,,,2,1,3,,2,1,2,1,,Colorless Eldrazi
39,185,20,30,15,10,11,4,6,4,5,6,1,1,4,2,2,3,5,3,1,4,3,2,1,3,,1,4,,2,2,1,4,Selesnya Ritual
40,166,14,26,25,7,,15,1,9,4,2,5,4,4,1,4,1,2,3,2,1,3,,,2,1,2,,,1,1,2,,Esper Ketramose Frog
41,153,19,24,18,12,5,5,2,3,3,2,4,6,3,2,3,,1,2,2,1,4,,2,1,4,1,3,,1,2,2,,Esper Ephemerate
42,152,11,18,4,6,16,5,5,9,,4,3,5,2,,1,1,5,3,3,4,4,,4,1,,,3,2,5,1,1,1,Izzet Murktide
43,118,17,13,7,6,11,4,1,2,1,3,4,4,,2,2,2,3,,1,,2,,2,1,1,1,1,3,1,,,1,Eldrazi Aggro
44,111,12,13,6,4,10,1,5,1,,2,2,3,1,2,4,3,2,3,2,2,1,1,,1,,1,,1,1,2,,,Dredge
45,100,15,17,9,5,4,6,1,3,4,2,4,,2,1,1,,2,2,,,,4,1,,3,1,2,1,1,1,1,,Prison Tron
46,97,12,9,8,3,8,2,3,2,1,2,6,1,1,,5,,2,1,2,1,2,,3,,,1,1,,2,,1,1,Soultrader
47,96,5,12,10,4,8,5,,7,2,2,,1,1,4,3,1,1,1,1,1,,,,2,,2,,,1,3,1,,Infect
48,95,15,12,8,3,8,1,4,3,1,1,5,4,3,1,2,2,1,,,1,3,1,,,,,1,,4,,,,Heliod Company
49,92,7,15,10,6,5,5,2,4,,5,1,,,4,,,,1,1,,1,1,,1,1,,,1,1,,2,3,Esper Control
50,86,5,7,8,5,8,2,1,1,,2,3,4,4,3,2,2,3,2,,2,,,1,,,1,,1,1,1,2,,Lantern Control
51,80,13,15,7,5,,4,,4,1,3,2,2,2,2,4,,1,,1,,,,,1,2,,1,,1,,1,,Mardu Blink
52,72,14,6,8,4,9,,1,,1,2,1,1,,2,1,2,1,2,,1,1,,,,,,1,,1,,1,,Grixis Oculus
53,70,7,9,4,2,4,6,3,2,2,,1,3,4,3,,,1,1,1,,1,1,1,1,1,1,,1,2,,,,Humans
