,Overall,Boros Energy,Eldrazi Ramp,Orzhov Blink,Amulet Titan,Dimir Oculus,Domain Aggro,Mono Blue Belcher,Dimir Frog,Esper Oculus,Golgari Yawgmoth,Mill,Hollow One,Azorius Control,Jeskai Energy Control,Esper Reanimator,Mardu Energy,Merfolk,Burn,Eldrazi Tron,Domain Cascade,Eldrazi Bloodchief Combo,Jeskai Ocelot,Ruby Storm,Azorius Artifacts,Orzhov Necrodominance,Samwise Combo,Hammer Time,Affinity,Living End,Mono Black Necrodominance,Splinter Twin,Hardened Scales
Boros Energy,"51% - 53%
52%8,375 matches","48% - 52%
50%1,646 matches","43% - 49%
46%1,113 matches","46% - 53%
49%843 matches","41% - 50%
46%513 matches","51% - 59%
55%529 matches","47% - 58%
53%318 matches","42% - 54%
48%273 matches","48% - 66%
57%125 matches","49% - 63%
56%223 matches","44% - 58%
51%214 matches","60% - 76%
69%143 matches","44% - 62%
53%132 matches","57% - 75%
67%111 matches","48% - 66%
57%130 matches","38% - 59%
48%97 matches","38% - 55%
46%155 matches","60% - 79%
70%97 matches","56% - 77%
67%79 matches","41% - 60%
51%112 matches","40% - 60%
50%106 matches","50% - 72%
61%82 matches","40% - 62%
51%92 matches","50% - 78%
65%51 matches","32% - 57%
44%70 matches","49% - 80%
66%38 matches","35% - 63%
49%51 matches","46% - 78%
63%38 matches","46% - 75%
62%47 matches","46% - 79%
64%36 matches","36% - 66%
51%45 matches","45% - 75%
61%46 matches","34% - 64%
49%47 matches"
Eldrazi Ramp,"49% - 51%
50%7,063 matches","50% - 56%
53%1,113 matches","47% - 53%
50%968 matches","50% - 57%
54%953 matches","35% - 44%
39%475 matches","41% - 53%
47%266 matches","43% - 55%
49%316 matches","41% - 55%
48%208 matches","35% - 52%
43%148 matches","44% - 59%
52%184 matches","51% - 68%
59%143 matches","27% - 43%
34%146 matches","42% - 60%
51%121 matches","47% - 66%
57%118 matches","43% - 62%
52%113 matches","32% - 55%
44%78 matches","46% - 66%
56%96 matches","29% - 51%
40%81 matches","18% - 38%
27%82 matches","37% - 60%
48%79 matches","48% - 73%
61%62 matches","25% - 52%
38%55 matches","43% - 64%
54%91 matches","22% - 49%
35%52 matches","31% - 57%
44%62 matches","28% - 52%
39%71 matches","30% - 54%
42%67 matches","38% - 72%
56%36 matches","34% - 72%
54%28 matches","38% - 74%
56%32 matches","28% - 60%
44%39 matches","48% - 84%
68%28 matches","32% - 76%
55%22 matches"
Orzhov Blink,"51% - 54%
53%6,107 matches","47% - 54%
51%843 matches","43% - 50%
46%953 matches","47% - 53%
50%886 matches","43% - 53%
48%444 matches","68% - 82%
76%139 matches","48% - 60%
54%279 matches","37% - 52%
45%184 matches","53% - 68%
61%173 matches","65% - 80%
73%147 matches","44% - 63%
53%116 matches","46% - 63%
55%152 matches","56% - 74%
65%113 matches","27% - 45%
36%123 matches","39% - 57%
48%121 matches","39% - 69%
54%48 matches","28% - 58%
43%47 matches","50% - 72%
62%78 matches","44% - 67%
56%77 matches","35% - 59%
47%73 matches","20% - 70%
44%16 matches","31% - 60%
45%49 matches","32% - 60%
45%53 matches","45% - 78%
62%37 matches","32% - 60%
45%53 matches","34% - 59%
46%69 matches","46% - 75%
61%49 matches","50% - 82%
68%37 matches","46% - 83%
67%27 matches","39% - 75%
58%31 matches","24% - 63%
43%28 matches","53% - 90%
75%24 matches","45% - 92%
73%15 matches"
Amulet Titan,"50% - 54%
52%3,357 matches","50% - 59%
54%513 matches","56% - 65%
61%475 matches","47% - 57%
52%444 matches","43% - 57%
50%226 matches","32% - 49%
40%149 matches","46% - 63%
55%150 matches","19% - 38%
28%87 matches","26% - 45%
35%103 matches","25% - 50%
37%62 matches","41% - 67%
54%63 matches","27% - 51%
38%68 matches","36% - 60%
48%69 matches","27% - 54%
40%55 matches","37% - 63%
50%62 matches","29% - 65%
47%32 matches","35% - 68%
51%39 matches","6% - 31%
15%39 matches","56% - 85%
73%40 matches","46% - 80%
65%34 matches","31% - 73%
52%23 matches","44% - 83%
65%26 matches","37% - 76%
57%28 matches","31% - 73%
52%23 matches","42% - 75%
59%37 matches","46% - 77%
63%40 matches","20% - 67%
42%19 matches","35% - 76%
56%25 matches","56% - 94%
80%20 matches","26% - 88%
60%10 matches","36% - 83%
61%18 matches","17% - 59%
36%22 matches","54% - 94%
79%19 matches"
Dimir Oculus,"47% - 51%
49%2,864 matches","41% - 49%
45%529 matches","47% - 59%
53%266 matches","18% - 32%
24%139 matches","51% - 67%
59%149 matches","44% - 56%
50%322 matches","41% - 65%
53%70 matches","40% - 59%
50%117 matches","31% - 59%
44%54 matches","35% - 65%
50%48 matches","29% - 49%
39%100 matches","49% - 80%
66%41 matches","40% - 67%
54%54 matches","10% - 56%
29%17 matches","45% - 84%
67%24 matches","47% - 72%
60%65 matches","28% - 54%
41%59 matches","34% - 63%
48%50 matches","59% - 92%
79%28 matches","38% - 73%
56%34 matches","29% - 54%
41%63 matches","36% - 68%
53%40 matches","24% - 71%
47%19 matches","52% - 83%
69%39 matches","8% - 58%
29%14 matches",--,"26% - 88%
60%10 matches","31% - 69%
50%30 matches","9% - 39%
21%33 matches","22% - 59%
39%28 matches","13% - 65%
36%14 matches","73% - 100%
94%18 matches","44% - 83%
65%26 matches"
Domain Aggro,"49% - 54%
52%2,282 matches","42% - 53%
47%318 matches","45% - 57%
51%316 matches","40% - 52%
46%279 matches","37% - 54%
45%150 matches","35% - 59%
47%70 matches","41% - 59%
50%122 matches","36% - 64%
50%56 matches","31% - 55%
42%71 matches","43% - 72%
58%50 matches","39% - 69%
54%46 matches","55% - 78%
67%67 matches","49% - 76%
63%52 matches","26% - 58%
41%41 matches","42% - 74%
59%39 matches","21% - 58%
38%29 matches","38% - 82%
62%21 matches","35% - 75%
56%27 matches","50% - 86%
70%27 matches","44% - 79%
63%32 matches","35% - 90%
67%12 matches","18% - 62%
38%21 matches","18% - 71%
43%14 matches","45% - 92%
73%15 matches","48% - 89%
71%21 matches","60% - 98%
87%15 matches","29% - 71%
50%24 matches","18% - 67%
41%17 matches","2% - 52%
18%11 matches","12% - 74%
40%10 matches","36% - 81%
60%20 matches","14% - 79%
44%9 matches","9% - 76%
38%8 matches"
Mono Blue Belcher,"51% - 56%
54%1,676 matches","46% - 58%
52%273 matches","44% - 58%
51%208 matches","48% - 63%
55%184 matches","62% - 81%
72%87 matches","41% - 60%
50%117 matches","36% - 64%
50%56 matches","35% - 65%
50%46 matches","34% - 64%
49%45 matches","36% - 68%
53%40 matches","37% - 67%
52%46 matches","32% - 66%
49%37 matches","24% - 65%
44%25 matches","41% - 85%
65%20 matches","50% - 86%
70%27 matches","36% - 66%
51%47 matches","35% - 76%
56%25 matches","19% - 64%
40%20 matches","15% - 57%
33%21 matches","45% - 86%
68%22 matches","45% - 86%
68%22 matches","9% - 51%
26%19 matches","18% - 67%
41%17 matches","27% - 73%
50%20 matches","14% - 68%
38%13 matches","63% - 100%
100%8 matches","16% - 68%
40%15 matches","2% - 52%
18%11 matches","30% - 80%
56%16 matches","21% - 86%
56%9 matches","74% - 100%
100%12 matches","18% - 90%
57%7 matches","4% - 78%
33%6 matches"
Dimir Frog,"52% - 57%
54%1,399 matches","34% - 52%
43%125 matches","48% - 65%
57%148 matches","32% - 47%
39%173 matches","55% - 74%
65%103 matches","41% - 69%
56%54 matches","45% - 69%
58%71 matches","36% - 66%
51%45 matches","37% - 63%
50%64 matches","46% - 88%
70%20 matches","20% - 59%
38%26 matches","48% - 82%
67%33 matches","25% - 61%
42%31 matches","31% - 69%
50%28 matches","55% - 91%
76%25 matches","41% - 75%
59%34 matches","22% - 96%
67%6 matches","28% - 69%
48%25 matches","64% - 95%
84%25 matches","25% - 75%
50%16 matches","4% - 78%
33%6 matches","17% - 77%
45%11 matches","16% - 100%
100%2 matches","55% - 98%
85%13 matches","5% - 51%
21%14 matches","19% - 64%
40%20 matches","48% - 93%
75%16 matches","14% - 68%
38%13 matches","9% - 76%
38%8 matches","16% - 68%
40%15 matches","18% - 90%
57%7 matches","42% - 100%
86%7 matches","21% - 86%
56%9 matches"
Esper Oculus,"44% - 50%
47%1,238 matches","37% - 51%
44%223 matches","41% - 56%
48%184 matches","20% - 35%
27%147 matches","50% - 75%
63%62 matches","35% - 65%
50%48 matches","28% - 57%
42%50 matches","32% - 64%
48%40 matches","12% - 54%
30%20 matches","33% - 67%
50%36 matches","20% - 59%
38%26 matches","45% - 84%
67%24 matches","27% - 69%
48%23 matches","23% - 83%
55%11 matches","11% - 59%
31%16 matches","29% - 76%
53%19 matches","21% - 58%
38%29 matches","35% - 93%
70%10 matches","28% - 77%
53%17 matches","15% - 59%
35%20 matches","31% - 89%
64%11 matches","25% - 81%
54%13 matches","18% - 62%
38%21 matches","39% - 94%
73%11 matches","0% - 60%
0%4 matches","10% - 82%
43%7 matches","26% - 88%
60%10 matches","26% - 88%
60%10 matches","10% - 82%
43%7 matches","22% - 96%
67%6 matches","14% - 79%
44%9 matches","29% - 96%
71%7 matches","19% - 99%
75%4 matches"
Golgari Yawgmoth,"47% - 53%
50%1,233 matches","42% - 56%
49%214 matches","32% - 49%
41%143 matches","36% - 54%
45%116 matches","33% - 59%
46%63 matches","51% - 71%
61%100 matches","31% - 61%
46%46 matches","33% - 63%
48%46 matches","41% - 80%
62%26 matches","41% - 80%
62%26 matches","25% - 75%
50%16 matches","51% - 88%
72%25 matches","21% - 73%
47%15 matches","28% - 77%
53%17 matches","38% - 84%
63%19 matches","39% - 91%
69%13 matches","35% - 76%
56%25 matches","42% - 92%
71%14 matches","14% - 68%
38%13 matches","29% - 82%
57%14 matches","13% - 65%
36%14 matches","26% - 70%
48%21 matches","12% - 74%
40%10 matches","6% - 61%
27%11 matches","12% - 74%
40%10 matches","19% - 99%
75%4 matches","7% - 70%
33%9 matches","0% - 46%
0%6 matches","14% - 79%
44%9 matches","10% - 65%
33%12 matches","0% - 64%
17%6 matches","23% - 83%
55%11 matches","29% - 96%
71%7 matches"
